Algorithm,"Mean Dist
(m ± std)","Median Dist
(m ± IQR)","Mean Time
(s ± std)","Median Time
(s ± IQR)","Best Dist
(m)","Best Dist Time
(s)",Params,Finished,Success
mpc_simplemove,6312.4 ± 145.0,6337.7 ± 111.6,1.7 ± 1.8,0.9 ± 2.7,6004.2,0.11,"h=10, ta=43, a=1.3",240/256,93.8%
mpc_realmove,6470.5 ± 243.1,6518.2 ± 410.8,4.1 ± 5.0,1.5 ± 6.2,5968.3,0.08,"h=10, ta=43, a=1.4",256/256,100.0%
beam_realmove,5990.0 ± 172.6,5910.6 ± 186.8,62.4 ± 79.4,25.3 ± 95.0,5842.8,232.64,"h=200, ta=43, a=1.4, bw=250.0",2439/4096,59.5%
